Estacion;Mes;Frecuencia de días con Precipitación superior a 1.0 mm;Humedad (%);Nubosidad (octavos);Precipitación (mm);Temp Media (°C);Temp Máx (°C);Temp Mín (°C);Velocidad del Viento (km/h) (2011-2020)
DOLORES AERO;Nov;7.0;74.5;3.5;91.4;17.8;24.0;11.9;
DOLORES AERO;Dic;6.5;71.1;3.2;81.8;20.5;27.3;13.9;
EL BOLSÓN AERO*;Ene;3.8;59.3;3.3;34.7;17.4;25.7;7.9;5.9
EL BOLSÓN AERO*;Feb;4.0;65.1;3.1;30.8;16.3;25.7;7.7;5.8
EL BOLSÓN AERO*;Mar;5.1;71.4;3.7;33.1;12.9;22.2;5.8;4.5
EL BOLSÓN AERO*;Abr;7.5;78.3;4.2;73.7;9.3;16.9;3.5;3.9
EL BOLSÓN AERO*;May;10.8;82.3;5.0;109.7;6.4;12.3;1.8;4.9
EL BOLSÓN AERO*;Jun;13.6;83.3;5.6;173.1;4.2;9.0;0.3;5.8
EL BOLSÓN AERO*;Jul;12.6;83.8;5.3;130.9;3.6;8.8;-0.4;5.0
EL BOLSÓN AERO*;Ago;12.9;79.8;5.2;135.2;4.9;11.0;0.5;6.1
EL BOLSÓN AERO*;Sep;7.3;72.8;4.5;55.3;7.1;14.5;1.2;5.6
EL BOLSÓN AERO*;Oct;6.9;67.6;4.4;51.3;10.3;17.7;3.3;7.6
EL BOLSÓN AERO*;Nov;5.8;62.8;4.3;44.4;13.1;20.5;5.0;7.7
EL BOLSÓN AERO*;Dic;4.2;59.2;3.8;33.4;16.3;23.7;6.8;7.1
EL CALAFATE AERO*;Ene;1.4;46.6;4.6;6.9;13.9;19.1;7.2;23.2
EL CALAFATE AERO*;Feb;2.3;51.3;4.4;13.7;13.6;19.2;6.8;20.6
EL CALAFATE AERO*;Mar;2.6;58.3;4.5;16.7;10.9;16.6;4.7;18.1
EL CALAFATE AERO*;Abr;3.3;66.1;4.3;19.5;7.1;12.9;1.1;15.6
EL CALAFATE AERO*;May;3.8;75.1;4.5;20.3;3.4;8.7;-1.7;11.8
EL CALAFATE AERO*;Jun;3.6;78.4;4.6;14.6;1.0;5.5;-3.7;12.9
EL CALAFATE AERO*;Jul;3.0;78.3;4.5;13.6;0.6;5.2;-4.4;11.7
EL CALAFATE AERO*;Ago;3.4;75.3;4.4;14.2;2.0;6.9;-2.8;13.6
EL CALAFATE AERO*;Sep;2.4;64.0;4.3;11.4;5.2;11.1;-0.8;16.0
EL CALAFATE AERO*;Oct;2.1;54.9;4.4;13.5;8.0;13.5;1.3;18.9
EL CALAFATE AERO*;Nov;1.5;49.9;4.5;6.9;10.7;15.8;4.0;23.9
EL CALAFATE AERO*;Dic;2.0;48.1;4.8;9.5;12.8;17.9;6.2;24.4
EL PALOMAR AERO;Ene;6.6;66.7;3.2;115.9;24.1;;;12.0
EL PALOMAR AERO;Feb;6.0;71.4;3.3;112.0;23.1;;;11.1
EL PALOMAR AERO;Mar;6.0;74.7;3.2;104.3;21.0;;;10.2
EL PALOMAR AERO;Abr;6.8;78.9;3.6;112.4;17.0;;;9.4
EL PALOMAR AERO;May;4.9;82.1;4.0;72.9;13.4;;;8.7
EL PALOMAR AERO;Jun;4.4;81.1;4.2;54.5;10.5;;;8.9
EL PALOMAR AERO;Jul;;79.5;4.1;;9.7;;;9.6
EL PALOMAR AERO;Ago;4.6;75.6;3.9;63.9;11.8;;;10.8
EL PALOMAR AERO;Sep;5.2;72.5;3.8;66.9;13.9;;;12.9
EL PALOMAR AERO;Oct;7.3;72.7;4.0;116.3;16.9;;;12.6
EL PALOMAR AERO;Nov;6.6;68.2;3.5;109.0;20.0;;;12.3
EL PALOMAR AERO;Dic;6.5;65.5;3.3;104.2;22.7;;;11.8
EL TRÉBOL;Ene;6.5;70.6;3.3;123.8;23.9;30.7;17.4;9.3
EL TRÉBOL;Feb;6.4;75.6;3.4;115.9;22.5;29.2;16.4;9.0
EL TRÉBOL;Mar;6.5;75.7;3.2;114.1;20.9;27.9;14.8;8.6
EL TRÉBOL;Abr;6.5;76.9;3.7;104.6;17.3;24.3;11.8;9.2
EL TRÉBOL;May;3.8;78.4;4.1;37.4;13.8;20.5;8.4;9.0
EL TRÉBOL;Jun;2.7;77.9;4.1;21.9;10.7;17.4;5.4;8.4
EL TRÉBOL;Jul;2.2;73.7;3.8;19.3;9.6;16.9;3.8;8.8
EL TRÉBOL;Ago;2.4;69.3;3.3;24.9;11.8;19.7;5.1;10.6
EL TRÉBOL;Sep;3.8;66.8;3.3;47.2;14.6;22.0;7.6;11.2
EL TRÉBOL;Oct;6.9;69.5;3.7;103.5;18.0;24.8;11.6;11.6
EL TRÉBOL;Nov;7.0;66.1;3.3;111.6;20.9;27.9;14.2;11.2
EL TRÉBOL;Dic;8.0;67.9;3.3;160.0;23.0;29.9;16.4;10.1
ESQUEL AERO;Ene;3.2;47.4;3.2;22.1;15.4;22.0;8.6;19.9
ESQUEL AERO;Feb;3.3;49.9;3.1;20.8;15.1;22.3;8.1;16.3
ESQUEL AERO;Mar;3.6;56.0;3.5;23.5;12.4;19.2;5.8;14.4
ESQUEL AERO;Abr;5.5;63.0;3.7;41.1;8.4;14.7;2.9;13.5
ESQUEL AERO;May;7.4;72.1;4.4;64.5;5.2;10.5;0.8;12.6
ESQUEL AERO;Jun;8.8;75.4;4.6;81.1;2.6;7.0;-1.4;14.0
ESQUEL AERO;Jul;7.8;75.3;4.4;64.5;1.7;6.2;-2.4;12.5
ESQUEL AERO;Ago;8.4;70.1;4.3;55.3;3.4;8.7;-1.1;14.0
ESQUEL AERO;Sep;5.1;61.7;3.9;29.4;5.6;11.9;0.2;14.4
ESQUEL AERO;Oct;4.5;55.0;3.9;28.7;8.4;14.6;2.3;16.4
ESQUEL AERO;Nov;3.6;49.9;3.8;21.3;11.3;17.6;4.9;19.8
ESQUEL AERO;Dic;2.7;47.5;3.6;20.3;13.7;20.1;7.3;21.0
EZEIZA AERO;Ene;6.6;65.6;3.4;99.8;24.1;30.3;17.9;13.2
EZEIZA AERO;Feb;6.4;70.6;3.4;108.5;23.0;28.8;17.1;12.2
EZEIZA AERO;Mar;6.0;74.2;3.4;100.1;21.0;26.8;15.4;11.2
EZEIZA AERO;Abr;6.3;77.3;3.8;100.6;17.1;22.9;11.8;10.8
EZEIZA AERO;May;4.9;79.7;4.3;70.3;13.6;19.0;8.9;10.0
EZEIZA AERO;Jun;4.5;78.5;4.5;48.4;10.8;15.9;6.1;10.4
EZEIZA AERO;Jul;4.5;77.6;4.4;56.9;9.8;15.0;5.2;11.1
EZEIZA AERO;Ago;4.6;73.8;4.2;59.3;11.8;17.5;6.6;12.0
EZEIZA AERO;Sep;5.5;71.7;4.1;65.4;13.8;19.3;8.3;13.5
EZEIZA AERO;Oct;7.5;71.9;4.2;106.6;16.8;22.2;11.2;13.4
EZEIZA AERO;Nov;6.5;67.0;3.7;99.5;20.0;25.8;13.8;13.9
EZEIZA AERO;Dic;6.2;64.1;3.4;99.5;22.7;29.0;16.2;12.7
FORMOSA AERO;Ene;7.6;71.5;4.0;163.5;27.7;34.1;22.5;12.4
FORMOSA AERO;Feb;7.4;74.2;4.0;135.6;26.9;33.0;22.0;11.5
FORMOSA AERO;Mar;6.8;76.4;3.7;138.2;25.6;31.7;20.6;10.8
FORMOSA AERO;Abr;6.9;78.9;3.8;159.6;22.7;28.6;18.0;10.5
FORMOSA AERO;May;6.0;81.2;4.1;110.1;19.0;24.5;14.6;11.2
FORMOSA AERO;Jun;4.7;81.0;4.5;60.3;17.3;22.8;13.1;12.2
FORMOSA AERO;Jul;3.4;76.4;4.0;41.0;16.4;22.7;11.5;12.1
FORMOSA AERO;Ago;3.6;70.3;3.5;34.8;18.3;25.4;12.7;14.8
FORMOSA AERO;Sep;5.7;69.3;3.8;74.8;20.4;27.2;14.7;14.3
FORMOSA AERO;Oct;8.3;72.4;4.2;150.3;23.4;29.5;18.2;15.4
FORMOSA AERO;Nov;7.8;71.1;3.7;159.9;24.8;30.9;19.2;13.7
FORMOSA AERO;Dic;7.8;71.4;3.9;178.4;26.9;33.0;21.4;12.9
GENERAL PICO AERO;Ene;7.3;63.6;3.1;106.6;23.8;30.9;17.1;
GENERAL PICO AERO;Feb;5.9;68.2;3.0;105.3;22.4;29.6;15.9;
GENERAL PICO AERO;Mar;7.4;71.2;3.1;130.6;20.2;27.4;14.4;
GENERAL PICO AERO;Abr;5.3;72.8;3.4;79.5;16.1;23.2;10.5;
GENERAL PICO AERO;May;4.0;78.0;3.9;33.5;12.2;18.8;7.1;
GENERAL PICO AERO;Jun;2.8;76.5;4.0;15.9;8.9;15.7;3.6;
GENERAL PICO AERO;Jul;2.7;73.4;3.8;17.2;8.0;15.1;2.5;
GENERAL PICO AERO;Ago;2.7;65.5;3.4;23.8;10.4;18.1;4.0;
GENERAL PICO AERO;Sep;4.7;63.2;3.6;48.8;13.3;20.8;6.6;
GENERAL PICO AERO;Oct;7.8;65.4;3.7;100.4;16.6;23.5;10.2;
GENERAL PICO AERO;Nov;6.6;59.3;3.3;103.4;20.3;27.4;13.4;
GENERAL PICO AERO;Dic;7.4;59.0;3.1;120.2;23.0;30.2;15.9;
GOBERNADOR GREGORES AERO*;Ene;1.8;43.7;4.0;8.4;15.3;22.6;9.2;
GOBERNADOR GREGORES AERO*;Feb;2.8;47.6;3.8;12.7;15.2;22.5;8.9;
GOBERNADOR GREGORES AERO*;Mar;2.7;52.4;3.7;13.6;12.5;18.9;7.1;
GOBERNADOR GREGORES AERO*;Abr;2.5;57.1;3.5;11.2;9.1;14.9;4.1;
GOBERNADOR GREGORES AERO*;May;2.3;66.3;3.6;10.1;5.3;10.1;1.1;
GOBERNADOR GREGORES AERO*;Jun;3.8;71.0;3.6;16.2;1.9;5.9;-2.0;
GOBERNADOR GREGORES AERO*;Jul;2.7;;;8.6;;5.7;-2.4;
GOBERNADOR GREGORES AERO*;Ago;2.5;;;10.1;;8.4;-0.7;
GOBERNADOR GREGORES AERO*;Sep;2.6;55.6;3.8;8.1;6.6;12.2;1.5;
GOBERNADOR GREGORES AERO*;Oct;2.0;49.9;3.8;9.0;9.5;16.0;3.8;
GOBERNADOR GREGORES AERO*;Nov;2.2;44.7;3.9;9.3;12.3;19.0;6.4;
GOBERNADOR GREGORES AERO*;Dic;2.3;43.9;4.2;8.1;14.3;21.0;8.2;
GUALEGUAYCHÚ AERO;Ene;6.3;67.5;3.1;130.3;24.9;31.2;18.8;11.4
GUALEGUAYCHÚ AERO;Feb;6.5;72.7;3.3;122.9;23.6;29.7;18.0;10.5
GUALEGUAYCHÚ AERO;Mar;6.4;74.7;3.1;128.4;21.8;28.0;16.3;10.3
GUALEGUAYCHÚ AERO;Abr;7.2;78.4;3.4;124.4;18.0;24.2;12.7;9.9
GUALEGUAYCHÚ AERO;May;5.2;81.5;3.9;81.8;14.4;20.2;9.8;9.9
GUALEGUAYCHÚ AERO;Jun;4.2;82.0;4.1;57.8;11.5;17.3;6.9;11.0
GUALEGUAYCHÚ AERO;Jul;4.4;80.0;3.9;56.5;10.7;16.6;6.0;11.3
GUALEGUAYCHÚ AERO;Ago;4.8;75.5;3.6;60.6;12.8;19.3;7.4;12.9
GUALEGUAYCHÚ AERO;Sep;5.5;72.7;3.6;78.6;14.9;20.9;9.3;12.9
GUALEGUAYCHÚ AERO;Oct;7.4;73.0;3.8;121.0;18.0;23.8;12.4;12.4
GUALEGUAYCHÚ AERO;Nov;6.3;67.5;3.3;115.5;21.0;27.2;14.8;13.0
GUALEGUAYCHÚ AERO;Dic;7.6;65.8;3.2;140.2;23.5;29.9;17.1;12.0
IGUAZÚ AERO;Ene;9.3;79.0;3.9;180.1;25.8;32.0;20.7;9.1
IGUAZÚ AERO;Feb;8.9;80.5;4.0;149.9;25.2;31.5;20.4;9.0
IGUAZÚ AERO;Mar;8.0;80.9;3.4;153.3;24.3;30.6;19.4;8.4
IGUAZÚ AERO;Abr;7.4;83.8;3.2;161.1;21.6;27.8;16.9;8.7
IGUAZÚ AERO;May;7.8;87.5;3.6;185.5;17.8;23.5;13.4;8.9
IGUAZÚ AERO;Jun;7.7;88.6;3.8;145.5;16.5;22.2;12.2;9.5
IGUAZÚ AERO;Jul;7.1;85.0;3.5;107.0;15.9;22.5;11.0;10.1
IGUAZÚ AERO;Ago;5.9;78.9;3.2;83.7;17.9;25.2;12.3;11.1
IGUAZÚ AERO;Sep;8.3;77.0;3.8;155.3;19.9;26.8;14.3;10.9
IGUAZÚ AERO;Oct;11.4;78.8;4.1;247.0;22.4;28.7;17.0;10.8
IGUAZÚ AERO;Nov;8.4;75.8;3.5;172.3;23.7;30.1;17.9;10.1
IGUAZÚ AERO;Dic;9.6;77.9;3.8;219.0;25.2;31.3;19.8;9.7
JACHAL;Ene;2.9;53.4;3.0;18.6;25.4;32.9;16.6;
JACHAL;Feb;3.6;58.1;2.9;32.3;23.3;31.2;15.1;
JACHAL;Mar;2.3;62.0;2.9;16.0;21.0;29.0;13.0;
JACHAL;Abr;1.4;64.9;2.5;8.2;16.0;24.5;7.2;
JACHAL;May;1.1;66.2;2.5;5.7;11.2;20.5;2.6;
JACHAL;Jun;0.6;63.4;2.3;3.2;8.4;18.5;-1.0;
JACHAL;Jul;0.8;61.7;2.0;3.4;7.2;17.6;-2.4;
JACHAL;Ago;0.5;56.0;1.8;1.8;10.0;20.4;-0.6;
JACHAL;Sep;1.0;54.4;2.0;5.4;13.5;22.8;3.3;
JACHAL;Oct;1.0;50.6;2.0;4.8;18.3;26.9;7.8;
JACHAL;Nov;0.9;48.2;2.0;5.9;22.0;30.3;11.8;
JACHAL;Dic;2.0;49.1;2.4;18.1;24.9;32.7;15.2;
JUJUY AERO;Ene;11.3;73.2;5.2;147.6;23.8;30.3;18.5;8.7
JUJUY AERO;Feb;10.4;77.5;5.3;154.0;22.7;28.8;17.9;8.3
JUJUY AERO;Mar;10.9;81.1;5.4;131.8;21.3;27.1;17.0;7.9
JUJUY AERO;Abr;6.5;81.5;5.2;51.7;18.5;24.3;14.1;7.8
JUJUY AERO;May;2.5;79.3;4.8;13.6;15.1;21.3;10.4;7.3
JUJUY AERO;Jun;1.1;75.9;4.1;4.3;12.5;19.9;7.3;8.2
JUJUY AERO;Jul;0.5;67.1;3.3;2.8;11.9;20.1;6.0;9.1
JUJUY AERO;Ago;0.5;55.7;2.8;2.1;15.1;23.6;8.2;11.3
JUJUY AERO;Sep;1.1;50.0;3.3;5.1;18.4;26.4;11.0;10.8
JUJUY AERO;Oct;3.6;55.7;4.2;28.8;21.9;29.0;15.1;10.4
JUJUY AERO;Nov;5.8;60.7;4.5;56.1;23.1;30.0;16.7;10.4
JUJUY AERO;Dic;9.2;67.3;4.8;122.5;24.0;30.7;18.1;8.9
JUJUY U N;Ene;13.8;80.7;5.8;191.5;21.1;27.3;16.7;4.2
JUJUY U N;Feb;13.5;83.7;5.8;188.0;20.2;26.2;16.2;4.4
JUJUY U N;Mar;13.3;84.9;5.8;166.5;19.1;24.8;15.5;4.4
JUJUY U N;Abr;7.6;84.7;5.4;62.0;16.6;22.4;12.7;4.5
JUJUY U N;May;4.5;83.0;5.0;20.9;13.4;19.6;9.1;4.4
JUJUY U N;Jun;2.8;79.3;4.1;9.5;11.1;18.6;5.9;4.5
JUJUY U N;Jul;2.3;74.1;3.5;7.1;10.2;18.6;4.5;4.4
JUJUY U N;Ago;1.7;65.3;3.0;5.9;13.0;21.7;6.4;4.9
JUJUY U N;Sep;2.5;62.6;3.4;9.4;15.7;24.0;9.1;5.0
JUJUY U N;Oct;5.5;67.0;4.6;40.8;19.0;26.4;12.9;5.1
JUJUY U N;Nov;9.0;71.1;4.9;97.5;20.2;27.1;14.6;4.9
JUJUY U N;Dic;11.8;77.0;5.3;152.1;21.3;27.7;16.2;4.6
JUNÍN AERO;Ene;7.1;69.6;3.2;129.2;23.0;29.8;16.5;14.4
JUNÍN AERO;Feb;6.8;74.6;3.2;115.0;21.6;28.4;15.6;12.2
JUNÍN AERO;Mar;7.0;75.9;3.1;128.3;19.7;26.9;13.8;12.8
JUNÍN AERO;Abr;6.9;75.8;3.5;127.5;16.1;23.1;10.6;13.6
JUNÍN AERO;May;4.3;78.9;3.9;75.7;12.7;19.2;7.6;13.2
JUNÍN AERO;Jun;3.1;78.0;4.0;31.4;9.5;16.0;4.4;13.4
JUNÍN AERO;Jul;3.1;75.7;4.0;29.7;8.7;15.2;3.4;14.4
JUNÍN AERO;Ago;3.1;70.6;3.5;40.8;10.7;18.1;4.7;16.1
JUNÍN AERO;Sep;4.5;68.3;3.6;60.3;13.2;20.2;6.9;16.8
JUNÍN AERO;Oct;8.6;70.7;3.9;134.2;16.3;22.7;10.2;17.2
JUNÍN AERO;Nov;6.9;65.7;3.4;112.1;19.6;26.5;12.8;16.8
JUNÍN AERO;Dic;7.6;64.5;3.2;121.0;22.1;29.2;15.1;15.2
LA PLATA AERO;Ene;7.1;72.2;3.2;111.0;23.1;28.9;17.4;
LA PLATA AERO;Feb;6.3;75.7;3.1;112.8;22.2;27.8;16.9;
LA PLATA AERO;Mar;6.3;79.1;3.1;106.5;20.2;25.8;15.2;
LA PLATA AERO;Abr;6.6;82.2;3.5;98.2;16.4;22.1;11.7;
LA PLATA AERO;May;5.2;85.1;4.0;78.0;13.0;18.2;8.7;
LA PLATA AERO;Jun;5.1;84.4;4.1;58.6;10.1;15.1;6.0;
LA PLATA AERO;Jul;5.4;83.7;4.1;78.7;9.2;14.2;5.2;
LA PLATA AERO;Ago;5.2;81.4;3.9;67.5;11.0;16.4;6.3;
LA PLATA AERO;Sep;5.8;79.0;3.8;71.4;12.8;18.1;7.9;
LA PLATA AERO;Oct;7.4;78.6;3.9;101.0;15.9;21.0;10.7;
LA PLATA AERO;Nov;6.8;74.3;3.5;95.3;18.8;24.4;13.4;
LA PLATA AERO;Dic;6.6;70.8;3.2;93.7;21.6;27.5;15.8;
LA QUIACA OBSERVATORIO;Ene;11.5;62.6;4.9;101.9;13.2;20.6;7.7;6.5
LA QUIACA OBSERVATORIO;Feb;9.2;63.2;4.7;67.9;13.0;20.4;7.6;6.8
LA QUIACA OBSERVATORIO;Mar;6.8;60.3;3.7;48.1;12.8;20.6;6.6;6.7
LA QUIACA OBSERVATORIO;Abr;1.4;46.0;2.3;6.8;11.3;20.3;3.1;5.5
LA QUIACA OBSERVATORIO;May;0.2;32.6;1.6;1.1;7.3;17.8;-2.5;4.8
LA QUIACA OBSERVATORIO;Jun;0.0;27.4;1.4;0.0;4.8;16.3;-5.7;5.5
LA QUIACA OBSERVATORIO;Jul;0.0;25.7;1.3;0.0;4.5;16.1;-6.2;5.9
LA QUIACA OBSERVATORIO;Ago;0.2;26.7;1.3;1.2;7.0;18.0;-4.0;6.7
LA QUIACA OBSERVATORIO;Sep;0.6;32.1;1.8;3.9;10.0;20.0;-0.4;7.9
LA QUIACA OBSERVATORIO;Oct;2.3;42.4;2.6;14.4;12.4;21.7;3.3;7.9
LA QUIACA OBSERVATORIO;Nov;3.8;48.6;3.1;22.2;13.4;22.5;5.5;7.7
LA QUIACA OBSERVATORIO;Dic;8.6;55.8;4.1;63.2;13.9;22.2;7.3;7.1
LA RIOJA AERO;Ene;7.1;59.9;3.9;90.3;27.6;35.2;21.5;
LA RIOJA AERO;Feb;6.6;63.9;4.0;78.8;26.0;33.2;20.1;
LA RIOJA AERO;Mar;5.4;67.9;3.8;63.4;23.9;30.8;18.6;
LA RIOJA AERO;Abr;3.3;70.0;3.6;30.8;19.8;26.8;14.6;
LA RIOJA AERO;May;1.7;71.1;3.6;8.2;15.3;22.6;9.9;
LA RIOJA AERO;Jun;0.7;70.3;3.2;4.0;11.4;19.7;5.6;
LA RIOJA AERO;Jul;0.7;63.2;2.5;4.2;10.6;19.5;4.2;
LA RIOJA AERO;Ago;0.5;52.2;2.1;3.3;14.2;23.3;6.9;
LA RIOJA AERO;Sep;1.3;47.6;2.4;5.5;18.4;26.9;11.3;
LA RIOJA AERO;Oct;2.0;49.3;2.9;19.5;22.8;30.8;15.9;
LA RIOJA AERO;Nov;3.4;51.5;3.2;32.0;25.6;33.6;18.9;
LA RIOJA AERO;Dic;5.6;54.4;3.5;66.9;27.6;35.4;20.8;
LABOULAYE AERO;Ene;7.5;69.9;3.0;130.0;23.2;30.4;16.9;10.9
LABOULAYE AERO;Feb;6.1;74.3;3.0;108.4;21.8;29.1;15.9;8.0
LABOULAYE AERO;Mar;6.9;76.3;2.9;128.6;19.9;27.3;14.2;8.3
LABOULAYE AERO;Abr;6.1;76.2;3.5;88.7;16.1;23.4;10.8;8.2
LABOULAYE AERO;May;3.6;78.4;4.0;39.0;12.4;19.4;7.6;7.6
LABOULAYE AERO;Jun;1.9;76.9;3.9;13.2;9.1;16.3;4.0;6.7
LABOULAYE AERO;Jul;2.0;72.9;3.8;13.5;8.1;15.7;2.8;8.0
LABOULAYE AERO;Ago;2.0;67.1;3.3;17.5;10.2;18.7;3.9;10.6
LABOULAYE AERO;Sep;4.0;64.8;3.4;48.4;13.2;21.3;6.6;12.6
LABOULAYE AERO;Oct;7.8;68.1;3.7;102.3;16.6;23.8;10.5;13.6
LABOULAYE AERO;Nov;7.6;64.5;3.3;106.0;20.0;27.3;13.5;13.2
LABOULAYE AERO;Dic;8.0;64.5;3.0;137.4;22.4;29.9;15.8;12.0
LAS FLORES;Ene;6.2;69.3;3.6;98.3;22.6;29.7;15.2;
LAS FLORES;Feb;6.1;73.7;3.5;104.5;21.4;28.4;14.7;
LAS FLORES;Mar;6.4;77.4;3.5;118.8;19.4;26.2;13.0;
LAS FLORES;Abr;6.6;79.4;3.7;105.9;15.4;22.1;9.7;
LAS FLORES;May;4.5;82.1;4.3;61.4;12.0;18.1;6.8;
LAS FLORES;Jun;4.1;82.2;4.3;52.5;9.0;14.7;4.1;
LAS FLORES;Jul;4.3;81.8;4.4;49.9;8.1;13.9;3.2;
LAS FLORES;Ago;4.2;79.3;4.1;57.1;10.2;16.5;4.8;
LAS FLORES;Sep;4.8;77.5;4.1;65.4;12.1;18.4;6.4;
LAS FLORES;Oct;7.0;76.2;4.2;102.6;15.4;21.4;9.4;
LAS FLORES;Nov;6.9;72.1;3.8;92.7;18.4;25.0;11.9;
LAS FLORES;Dic;6.1;68.5;3.5;71.6;21.2;28.4;14.1;
LAS LOMITAS;Ene;6.7;67.9;3.9;130.3;28.3;35.5;22.1;5.4
LAS LOMITAS;Feb;7.0;71.7;3.9;121.4;27.0;34.0;21.5;5.2
LAS LOMITAS;Mar;7.5;74.1;3.7;156.4;25.7;32.7;20.3;4.7
LAS LOMITAS;Abr;6.4;77.4;4.1;95.4;22.7;29.2;17.8;4.6
LAS LOMITAS;May;4.9;80.0;4.3;65.4;18.9;25.2;14.1;4.5
LAS LOMITAS;Jun;3.1;78.5;4.5;16.9;17.2;23.8;12.5;4.8
LAS LOMITAS;Jul;2.2;70.8;3.6;15.6;16.6;24.2;10.8;5.2
LAS LOMITAS;Ago;1.4;61.5;3.0;11.9;19.3;27.6;12.6;6.3
LAS LOMITAS;Sep;2.7;59.2;3.3;26.3;21.8;29.9;15.0;6.1
LAS LOMITAS;Oct;5.6;63.2;3.8;70.3;24.9;32.3;18.6;6.6
LAS LOMITAS;Nov;7.4;66.0;3.6;128.0;25.9;33.2;19.6;5.7
LAS LOMITAS;Dic;6.9;68.1;3.8;129.3;27.6;34.6;21.3;5.4
MALARGÜE AERO;Ene;3.0;43.8;2.6;22.7;20.6;29.1;11.6;10.4
MALARGÜE AERO;Feb;4.1;50.3;2.8;32.4;18.9;27.2;10.7;9.7
MALARGÜE AERO;Mar;3.2;55.4;2.9;30.2;16.4;25.0;8.9;8.8
MALARGÜE AERO;Abr;3.1;60.6;3.3;30.4;11.5;20.0;4.8;8.2
MALARGÜE AERO;May;3.8;63.7;4.0;30.4;7.4;15.3;1.5;9.4
MALARGÜE AERO;Jun;4.0;61.9;3.9;33.5;4.7;12.5;-1.0;11.6
MALARGÜE AERO;Jul;2.9;59.8;3.7;24.4;3.8;11.8;-2.3;11.4
MALARGÜE AERO;Ago;3.2;53.7;3.6;26.9;5.8;14.2;-1.1;12.6
MALARGÜE AERO;Sep;2.9;49.2;3.6;17.4;8.7;17.0;1.3;12.2
MALARGÜE AERO;Oct;2.9;44.9;3.6;24.5;12.5;20.5;4.4;11.9
MALARGÜE AERO;Nov;2.6;40.9;3.1;25.9;16.2;24.4;7.3;12.1
MALARGÜE AERO;Dic;2.8;40.0;2.7;21.9;19.2;27.5;10.0;11.7
MAQUINCHAO;Ene;1.6;44.1;2.6;13.8;18.6;26.7;9.6;16.3
MAQUINCHAO;Feb;2.1;47.9;2.6;24.6;17.5;25.7;9.1;13.3
MAQUINCHAO;Mar;2.0;53.4;3.0;18.3;14.2;22.3;6.5;11.3
MAQUINCHAO;Abr;2.9;60.9;3.3;23.4;8.9;16.6;2.4;10.6
MAQUINCHAO;May;3.8;68.8;3.8;22.7;4.8;11.3;-0.6;10.4
MAQUINCHAO;Jun;5.0;72.4;4.0;25.8;1.8;7.1;-2.8;12.6
MAQUINCHAO;Jul;;71.0;3.7;;0.6;6.2;-4.4;10.9
MAQUINCHAO;Ago;2.0;66.4;3.7;8.9;2.8;9.6;-2.8;14.1
MAQUINCHAO;Sep;2.4;59.0;3.4;14.0;5.7;13.1;-1.0;13.9
MAQUINCHAO;Oct;3.1;54.1;3.6;22.9;9.6;16.9;2.3;14.6
MAQUINCHAO;Nov;;48.9;3.4;;13.3;20.8;5.5;16.9
MAQUINCHAO;Dic;1.4;46.5;3.0;10.1;16.6;24.4;7.9;18.1
MAR DEL PLATA AERO;Ene;6.6;73.9;3.7;91.1;20.3;26.4;14.5;16.4
MAR DEL PLATA AERO;Feb;6.6;77.2;3.7;103.6;19.7;25.5;14.3;14.9
MAR DEL PLATA AERO;Mar;7.0;79.5;3.8;95.2;18.1;23.8;12.9;14.2
MAR DEL PLATA AERO;Abr;7.4;79.9;4.1;97.3;14.6;20.4;9.5;13.8
MAR DEL PLATA AERO;May;5.7;82.0;4.5;60.0;11.4;16.9;6.7;12.0
MAR DEL PLATA AERO;Jun;5.9;81.6;4.6;66.1;8.5;13.8;4.0;14.0
MAR DEL PLATA AERO;Jul;6.4;81.8;4.7;57.8;7.5;12.6;3.2;13.9
MAR DEL PLATA AERO;Ago;5.8;79.5;4.5;63.6;9.0;14.7;4.2;14.8
MAR DEL PLATA AERO;Sep;5.7;78.6;4.4;63.1;10.4;15.9;5.5;15.5
MAR DEL PLATA AERO;Oct;7.2;77.7;4.5;83.1;13.2;18.6;8.1;16.1
MAR DEL PLATA AERO;Nov;7.7;75.4;4.0;80.3;15.9;21.7;10.3;16.6
MAR DEL PLATA AERO;Dic;6.4;72.7;3.7;84.8;18.8;25.2;12.8;17.3
MARCOS JUÁREZ AERO;Ene;6.2;75.4;3.1;114.4;23.5;30.4;17.2;
MARCOS JUÁREZ AERO;Feb;6.4;79.3;3.2;118.9;22.1;28.9;16.2;
MARCOS JUÁREZ AERO;Mar;6.5;78.1;3.1;109.7;20.6;27.9;14.7;
MARCOS JUÁREZ AERO;Abr;6.8;78.2;3.6;107.3;17.2;24.4;11.7;
MARCOS JUÁREZ AERO;May;3.5;80.5;3.9;37.0;13.5;20.4;8.3;
MARCOS JUÁREZ AERO;Jun;2.3;80.3;4.0;18.8;10.3;17.3;4.9;
MARCOS JUÁREZ AERO;Jul;1.8;76.8;3.6;12.5;9.2;16.8;3.5;
MARCOS JUÁREZ AERO;Ago;2.3;71.4;3.2;21.6;11.3;19.7;4.8;
MARCOS JUÁREZ AERO;Sep;3.9;68.9;3.4;42.2;14.2;22.3;7.2;
MARCOS JUÁREZ AERO;Oct;6.7;69.9;3.7;102.3;17.8;25.1;11.2;
