Estacion;Mes;Frecuencia de días con Precipitación superior a 1.0 mm;Humedad (%);Nubosidad (octavos);Precipitación (mm);Temp Media (°C);Temp Máx (°C);Temp Mín (°C);Velocidad del Viento (km/h) (2011-2020)
BASE CARLINI (EX JÚBANY);Sep;;;6.7;;-3.7;-1.2;-6.5;
BASE CARLINI (EX JÚBANY);Oct;;;6.9;;-1.9;0.2;-4.2;
BASE CARLINI (EX JÚBANY);Nov;;87.6;7.0;;-0.2;1.7;-2.2;
BASE CARLINI (EX JÚBANY);Dic;;84.7;7.0;;1.2;3.2;-0.6;
BASE ESPERANZA;Ene;;80.1;6.3;;1.5;4.3;-1.2;
BASE ESPERANZA;Feb;;79.5;6.0;;0.9;3.9;-2.0;
BASE ESPERANZA;Mar;;;5.9;;-2.0;1.4;-5.2;
BASE ESPERANZA;Abr;;;5.7;;-5.5;-1.7;-8.9;
BASE ESPERANZA;May;;;5.4;;-7.4;-3.2;-11.2;
BASE ESPERANZA;Jun;;;5.3;;-10.4;-6.2;-14.1;
BASE ESPERANZA;Jul;;;5.1;;-10.8;-6.4;-15.0;
BASE ESPERANZA;Ago;;;5.3;;-9.5;-5.1;-13.7;
BASE ESPERANZA;Sep;;;5.5;;-6.9;-2.6;-10.9;
BASE ESPERANZA;Oct;;;5.8;;-4.1;-0.2;-7.8;
BASE ESPERANZA;Nov;;;6.0;;-0.9;2.3;-3.9;
BASE ESPERANZA;Dic;;79.4;6.0;;0.8;3.8;-1.8;
BASE MARAMBIO;Ene;;90.2;6.6;;-0.8;1.7;-3.0;
BASE MARAMBIO;Feb;;;6.4;;-1.8;1.0;-4.2;
BASE MARAMBIO;Mar;;;6.1;;-5.5;-2.1;-8.6;
BASE MARAMBIO;Abr;;;5.7;;-10.0;-6.1;-13.7;
BASE MARAMBIO;May;;;5.0;;-11.9;-7.4;-16.1;
BASE MARAMBIO;Jun;;;5.1;;-14.9;-10.7;-18.7;
BASE MARAMBIO;Jul;;;4.8;;-14.9;-10.3;-19.3;
BASE MARAMBIO;Ago;;;5.0;;-13.8;-9.3;-18.1;
BASE MARAMBIO;Sep;;;5.3;;-10.6;-6.1;-14.8;
BASE MARAMBIO;Oct;;;5.7;;-7.3;-3.6;-11.0;
BASE MARAMBIO;Nov;;;6.2;;-3.4;-0.4;-6.2;
BASE MARAMBIO;Dic;;88.4;6.3;;-1.3;1.3;-3.7;
BASE ORCADAS;Ene;;87.1;7.5;;1.3;3.6;-0.7;19.2
BASE ORCADAS;Feb;;87.2;7.4;;1.4;3.4;-0.4;23.0
BASE ORCADAS;Mar;;88.0;7.2;;0.3;2.4;-1.6;23.4
BASE ORCADAS;Abr;;;7.2;;-1.8;0.4;-4.1;23.5
BASE ORCADAS;May;;;6.8;;-5.0;-2.0;-8.1;21.5
BASE ORCADAS;Jun;;;6.6;;-7.5;-3.9;-11.3;20.4
BASE ORCADAS;Jul;;;6.2;;-9.4;-5.3;-14.1;21.6
BASE ORCADAS;Ago;;;6.3;;-8.1;-4.1;-12.4;22.9
BASE ORCADAS;Sep;;;6.6;;-5.6;-2.0;-9.8;23.9
BASE ORCADAS;Oct;;;7.1;;-2.7;0.6;-6.0;21.6
BASE ORCADAS;Nov;;;7.2;;-0.6;2.5;-3.2;20.6
BASE ORCADAS;Dic;;86.5;7.3;;0.5;3.0;-1.7;18.3
BASE SAN MARTÍN;Ene;;71.2;6.3;;1.9;4.5;-0.5;
BASE SAN MARTÍN;Feb;;74.6;6.5;;1.0;3.5;-1.3;
BASE SAN MARTÍN;Mar;;;6.4;;-0.8;1.7;-3.5;
BASE SAN MARTÍN;Abr;;;6.1;;-2.9;-0.5;-5.5;
